t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789041089.2502,sample,3,0,30301,,,,,3029.0,1008.002,477.282,True,,,,,,,,3/w0
1789041089.9163,sample,3,0,30301,,,,,227.0,665.737,55.646,True,,,,,,,,3/w0
1789041090.2746,sample,3,0,30301,,,,,523.0,358.248,42.888,True,,,,,,,,3/w0
1789041090.6356,sample,3,0,30301,,,,,3428.0,360.887,23.172,True,,,,,,,,3/w0
1789041091.0454,sample,3,0,30301,,,,,2221.0,409.747,19.662,True,,,,,,,,3/w0
1789041091.4073,sample,3,0,30301,,,,,1756.0,361.79,15.545,True,,,,,,,,3/w0
1789041092.1231,sample,3,0,30301,,,,,3967.0,574.217,117.322,True,,,,,,,,3/w0
1789041092.4681,sample,3,0,30301,,,,,2835.0,344.954,55.822,True,,,,,,,,3/w0
1789041092.7542,sample,3,0,30301,,,,,4863.0,285.937,22.29,True,,,,,,,,3/w0
1789041093.0837,sample,3,0,30301,,,,,161.0,329.462,26.64,True,,,,,,,,3/w0
1789041093.4783,sample,3,0,30301,,,,,4691.0,394.479,18.607,True,,,,,,,,3/w0
1789041094.0305,sample,3,0,30301,,,,,2826.0,324.663,118.195,True,,,,,,,,3/w0
1789041094.5096,sample,3,0,30301,,,,,1417.0,478.966,56.911,True,,,,,,,,3/w0
1789041094.8695,sample,3,0,30301,,,,,1887.0,359.873,37.59,True,,,,,,,,3/w0
1789041095.1835,sample,3,0,30301,,,,,1596.0,313.855,29.875,True,,,,,,,,3/w0
1789041095.5678,sample,3,0,30301,,,,,2648.0,384.188,31.023,True,,,,,,,,3/w0
1789041095.9008,sample,3,0,30301,,,,,4730.0,332.938,14.056,True,,,,,,,,3/w0
1789041096.4695,sample,3,0,30301,,,,,4473.0,463.219,128.95,True,,,,,,,,3/w0
1789041096.8338,sample,3,0,30301,,,,,3484.0,364.255,49.381,True,,,,,,,,3/w0
1789041097.2334,sample,3,0,30301,,,,,4241.0,399.454,26.628,True,,,,,,,,3/w0
1789041097.4926,sample,3,0,30301,,,,,3266.0,259.224,24.947,True,,,,,,,,3/w0
