t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039868.2353,timeline,0,-1,29429,0.0,0.0,1.0,2525.112,,,,,,,73323.74743,73325.824222,73326.133654,73326.133654,73326.151217
1789039868.231,timeline,1,-1,29430,0.0,0.0,1.0,2545.443,,,,,,,73323.872721,73325.886722,73326.133637,73326.133637,73326.146874
1789039868.2309,timeline,3,-1,29432,0.0,0.0,1.0,2674.124,,,,,,,73324.023054,73325.851043,73326.13362,73326.13362,73326.146786
1789039868.2311,timeline,2,-1,29431,0.0,0.0,1.0,3147.509,,,,,,,73324.52494,73325.912257,73326.13363,73326.13363,73326.147011
1789039868.3525,timeline,3,-1,29432,1.0,0.0,2.0,0.244,,,,,,,73326.147671,73326.241361,73326.26841,73326.26841,73326.268426
1789039868.3481,timeline,1,-1,29430,1.0,0.0,2.0,0.22,,,,,,,73326.147764,73326.243078,73326.263999,73326.263999,73326.264027
1789039868.3496,timeline,2,-1,29431,1.0,0.0,2.0,0.233,,,,,,,73326.148293,73326.242943,73326.26546,73326.26546,73326.265477
1789039868.3706,timeline,0,-1,29429,1.0,0.0,2.0,0.298,,,,,,,73326.152031,73326.264966,73326.28651,73326.28651,73326.286528
1789039869.4197,timeline,3,-1,29432,2.0,0.0,3.0,0.1,,,,,,,73326.268745,73326.64792,73327.335593,73327.335593,73327.335608
1789039869.4246,timeline,0,-1,29429,2.0,0.0,3.0,0.156,,,,,,,73326.286964,73326.647445,73327.340469,73327.340469,73327.340485
1789039869.3793,timeline,1,-1,29430,2.0,0.0,3.0,256.449,,,,,,,73326.52069,73326.66021,73327.295262,73327.295262,73327.295276
1789039869.4257,timeline,2,-1,29431,2.0,0.0,3.0,292.608,,,,,,,73326.558342,73326.64999,73327.341653,73327.341653,73327.341672
1789039869.6647,timeline,1,-1,29430,3.0,0.0,4.0,0.091,,,,,,,73327.295652,73327.560931,73327.580596,73327.580596,73327.580612
1789039869.6706,timeline,3,-1,29432,3.0,0.0,4.0,0.107,,,,,,,73327.335888,73327.56241,73327.586484,73327.586484,73327.586498
1789039869.6826,timeline,0,-1,29429,3.0,0.0,4.0,0.193,,,,,,,73327.341124,73327.575344,73327.59849,73327.59849,73327.598508
1789039869.6647,timeline,2,-1,29431,3.0,0.0,4.0,125.441,,,,,,,73327.467434,73327.559486,73327.580611,73327.580611,73327.58063
1789039871.5213,timeline,0,-1,29429,4.0,0.0,5.0,0.152,,,,,,,73327.599113,73329.41414,73329.437205,73329.437205,73329.437225
1789039871.4799,timeline,3,-1,29432,4.0,0.0,5.0,940.094,,,,,,,73328.526818,73329.369993,73329.395826,73329.395826,73329.395847
1789039871.4717,timeline,1,-1,29430,4.0,0.0,5.0,1663.413,,,,,,,73329.24426,73329.366251,73329.387576,73329.387576,73329.387594
1789039871.4691,timeline,2,-1,29431,4.0,0.0,5.0,1691.524,,,,,,,73329.272411,73329.364843,73329.385034,73329.385034,73329.38505
1789039872.4574,timeline,0,-1,29429,5.0,0.0,6.0,0.144,,,,,,,73329.437651,73330.12496,73330.373353,73330.373353,73330.373366
1789039872.4493,timeline,1,-1,29430,5.0,0.0,6.0,134.17,,,,,,,73329.52199,73330.127596,73330.365262,73330.365262,73330.365273
1789039872.4715,timeline,3,-1,29432,5.0,0.0,6.0,259.598,,,,,,,73329.655712,73330.128119,73330.387436,73330.387436,73330.387451
1789039872.4567,timeline,2,-1,29431,5.0,0.0,6.0,651.172,,,,,,,73330.036454,73330.127699,73330.372619,73330.372619,73330.372637
