t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789039537.5159,sample,3,1,29248,2013.0,1190.891,512.401,True,,,,,,,,,,,,3/w1
1789039537.9694,sample,3,1,29248,1293.0,453.083,84.715,True,,,,,,,,,,,,3/w1
1789039538.2953,sample,3,1,29248,3629.0,325.823,22.841,True,,,,,,,,,,,,3/w1
1789039538.5405,sample,3,1,29248,4682.0,245.061,14.034,True,,,,,,,,,,,,3/w1
1789039538.8981,sample,3,1,29248,3263.0,235.286,107.405,True,,,,,,,,,,,,3/w1
1789039539.2694,sample,3,1,29248,1949.0,371.19,63.426,True,,,,,,,,,,,,3/w1
1789039539.7925,sample,3,1,29248,4401.0,522.943,47.218,True,,,,,,,,,,,,3/w1
1789039540.0287,sample,3,1,29248,2333.0,236.147,28.922,True,,,,,,,,,,,,3/w1
1789039540.3547,sample,3,1,29248,2689.0,325.902,21.494,True,,,,,,,,,,,,3/w1
1789039540.6374,sample,3,1,29248,1758.0,282.656,15.113,True,,,,,,,,,,,,3/w1
1789039541.1191,sample,3,1,29248,4369.0,379.484,108.96,True,,,,,,,,,,,,3/w1
1789039541.439,sample,3,1,29248,4166.0,319.825,53.873,True,,,,,,,,,,,,3/w1
1789039541.9441,sample,3,1,29248,1923.0,504.901,39.833,True,,,,,,,,,,,,3/w1
1789039542.2835,sample,3,1,29248,1210.0,339.374,30.558,True,,,,,,,,,,,,3/w1
1789039542.6483,sample,3,1,29248,3760.0,364.607,27.006,True,,,,,,,,,,,,3/w1
1789039542.9188,sample,3,1,29248,1155.0,270.488,20.535,True,,,,,,,,,,,,3/w1
1789039543.1593,sample,3,1,29248,4233.0,240.361,14.899,True,,,,,,,,,,,,3/w1
1789039543.7267,sample,3,1,29248,2564.0,427.878,106.898,True,,,,,,,,,,,,3/w1
1789039544.1735,sample,3,1,29248,1724.0,446.662,51.511,True,,,,,,,,,,,,3/w1
1789039544.5151,sample,3,1,29248,2738.0,341.473,32.896,True,,,,,,,,,,,,3/w1
1789039544.8957,sample,3,1,29248,2524.0,380.494,23.664,True,,,,,,,,,,,,3/w1
1789039545.1708,sample,3,1,29248,548.0,275.034,23.116,True,,,,,,,,,,,,3/w1
1789039545.5093,sample,3,1,29248,4269.0,338.434,19.127,True,,,,,,,,,,,,3/w1
1789039545.7816,sample,3,1,29248,2412.0,272.257,16.593,True,,,,,,,,,,,,3/w1
1789039546.2151,sample,3,1,29248,1717.0,337.529,99.474,True,,,,,,,,,,,,3/w1
1789039546.7137,sample,3,1,29248,3600.0,498.403,48.589,True,,,,,,,,,,,,3/w1
1789039547.0447,sample,3,1,29248,4087.0,330.996,31.705,True,,,,,,,,,,,,3/w1
1789039547.4048,sample,3,1,29248,1114.0,359.997,27.182,True,,,,,,,,,,,,3/w1
1789039547.739,sample,3,1,29248,4550.0,334.03,23.7,True,,,,,,,,,,,,3/w1
1789039548.1273,sample,3,1,29248,297.0,388.242,20.308,True,,,,,,,,,,,,3/w1
1789039548.4259,sample,3,1,29248,2719.0,298.515,18.046,True,,,,,,,,,,,,3/w1
1789039548.8344,sample,3,1,29248,3517.0,318.87,99.383,True,,,,,,,,,,,,3/w1
1789039549.1853,sample,3,1,29248,3934.0,350.751,46.663,True,,,,,,,,,,,,3/w1
1789039549.4947,sample,3,1,29248,4508.0,309.357,35.721,True,,,,,,,,,,,,3/w1
1789039549.8639,sample,3,1,29248,2811.0,369.038,27.261,True,,,,,,,,,,,,3/w1
1789039550.2736,sample,3,1,29248,4868.0,409.596,33.564,True,,,,,,,,,,,,3/w1
1789039550.6446,sample,3,1,29248,1407.0,370.91,24.173,True,,,,,,,,,,,,3/w1
1789039550.8846,sample,3,1,29248,3058.0,239.924,17.814,True,,,,,,,,,,,,3/w1
1789039551.515,sample,3,1,29248,850.0,531.171,99.333,True,,,,,,,,,,,,3/w1
1789039551.8676,sample,3,1,29248,2164.0,352.497,54.691,True,,,,,,,,,,,,3/w1
1789039552.2233,sample,3,1,29248,3191.0,355.622,39.128,True,,,,,,,,,,,,3/w1
1789039552.7047,sample,3,1,29248,3630.0,481.363,25.983,True,,,,,,,,,,,,3/w1
1789039552.9064,sample,3,1,29248,4327.0,201.538,17.46,True,,,,,,,,,,,,3/w1
1789039553.1976,sample,3,1,29248,644.0,291.137,15.866,True,,,,,,,,,,,,3/w1
1789039553.7832,sample,3,1,29248,2883.0,502.755,135.186,True,,,,,,,,,,,,3/w1
1789039554.2138,sample,3,1,29248,689.0,430.597,65.85,True,,,,,,,,,,,,3/w1
1789039554.6141,sample,3,1,29248,3027.0,400.134,62.031,True,,,,,,,,,,,,3/w1
1789039555.012,sample,3,1,29248,4130.0,397.791,49.161,True,,,,,,,,,,,,3/w1
1789039555.4474,sample,3,1,29248,3321.0,435.353,35.469,True,,,,,,,,,,,,3/w1
1789039555.7731,sample,3,1,29248,3759.0,325.563,22.773,True,,,,,,,,,,,,3/w1
1789039556.3291,sample,3,1,29248,2688.0,435.711,98.321,True,,,,,,,,,,,,3/w1
1789039556.8639,sample,3,1,29248,1070.0,534.691,50.282,True,,,,,,,,,,,,3/w1
1789039557.2022,sample,3,1,29248,2298.0,338.231,36.791,True,,,,,,,,,,,,3/w1
1789039557.5474,sample,3,1,29248,500.0,345.146,34.487,True,,,,,,,,,,,,3/w1
1789039558.0717,sample,3,1,29248,714.0,524.21,23.548,True,,,,,,,,,,,,3/w1
1789039558.3299,sample,3,1,29248,246.0,258.14,17.012,True,,,,,,,,,,,,3/w1
1789039558.692,sample,3,1,29248,3190.0,362.002,12.679,True,,,,,,,,,,,,3/w1
1789039559.1018,sample,3,1,29248,2474.0,318.832,126.57,True,,,,,,,,,,,,3/w1
1789039559.4832,sample,3,1,29248,1334.0,381.321,61.503,True,,,,,,,,,,,,3/w1
1789039559.7578,sample,3,1,29248,1083.0,274.468,35.154,True,,,,,,,,,,,,3/w1
1789039560.2574,sample,3,1,29248,1673.0,499.525,27.2,True,,,,,,,,,,,,3/w1
1789039560.7267,sample,3,1,29248,2400.0,469.233,22.877,True,,,,,,,,,,,,3/w1
1789039561.2406,sample,3,1,29248,2722.0,387.714,95.001,True,,,,,,,,,,,,3/w1
1789039561.5907,sample,3,1,29248,4573.0,350.045,40.472,True,,,,,,,,,,,,3/w1
1789039561.9186,sample,3,1,29248,4817.0,327.878,34.219,True,,,,,,,,,,,,3/w1
1789039562.3222,sample,3,1,29248,2584.0,403.444,31.825,True,,,,,,,,,,,,3/w1
1789039562.8269,sample,3,1,29248,2239.0,504.676,26.652,True,,,,,,,,,,,,3/w1
1789039563.1118,sample,3,1,29248,4151.0,284.752,23.783,True,,,,,,,,,,,,3/w1
1789039563.4291,sample,3,1,29248,2362.0,317.212,17.359,True,,,,,,,,,,,,3/w1
1789039563.8782,sample,3,1,29248,2901.0,356.414,108.393,True,,,,,,,,,,,,3/w1
1789039564.2729,sample,3,1,29248,2038.0,394.613,59.258,True,,,,,,,,,,,,3/w1
1789039564.87,sample,3,1,29248,1289.0,597.031,41.916,True,,,,,,,,,,,,3/w1
1789039565.2289,sample,3,1,29248,3665.0,358.841,32.09,True,,,,,,,,,,,,3/w1
1789039565.5232,sample,3,1,29248,30.0,294.196,16.227,True,,,,,,,,,,,,3/w1
1789039566.0015,sample,3,1,29248,518.0,385.514,111.076,True,,,,,,,,,,,,3/w1
1789039566.2985,sample,3,1,29248,680.0,296.979,54.922,True,,,,,,,,,,,,3/w1
