t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039538.6099,collate,3,1,29248,,69.257,69.056,,4.0,1.0,,,,,,,,,
1789039540.6733,collate,3,1,29248,,35.745,35.653,,6.0,1.0,,,,,,,,,
1789039543.2283,collate,3,1,29248,,68.875,68.599,,7.0,1.0,,,,,,,,,
1789039545.8167,collate,3,1,29248,,34.969,34.923,,7.0,1.0,,,,,,,,,
1789039548.4578,collate,3,1,29248,,31.781,31.731,,7.0,1.0,,,,,,,,,
1789039550.9196,collate,3,1,29248,,34.858,34.78,,7.0,1.0,,,,,,,,,
1789039553.2404,collate,3,1,29248,,42.775,42.686,,6.0,1.0,,,,,,,,,
1789039555.8279,collate,3,1,29248,,54.751,54.633,,6.0,1.0,,,,,,,,,
1789039558.7252,collate,3,1,29248,,33.097,33.056,,7.0,1.0,,,,,,,,,
1789039560.7904,collate,3,1,29248,,63.548,63.438,,5.0,1.0,,,,,,,,,
1789039563.4619,collate,3,1,29248,,32.732,32.696,,7.0,1.0,,,,,,,,,
1789039565.5592,collate,3,1,29248,,35.91,35.819,,5.0,1.0,,,,,,,,,
1789039567.4876,collate,3,1,29248,,56.935,56.747,,5.0,1.0,,,,,,,,,
1789039569.6698,collate,3,1,29248,,35.399,35.339,,6.0,1.0,,,,,,,,,
1789039571.835,collate,3,1,29248,,55.407,55.272,,6.0,1.0,,,,,,,,,
1789039573.8774,collate,3,1,29248,,40.905,40.852,,5.0,1.0,,,,,,,,,
1789039575.2553,collate,3,1,29248,,54.491,54.411,,4.0,1.0,,,,,,,,,
1789039577.8729,collate,3,1,29248,,48.004,47.931,,7.0,1.0,,,,,,,,,
1789039579.8554,collate,3,1,29248,,30.362,30.328,,5.0,1.0,,,,,,,,,
1789039582.1536,collate,3,1,29248,,52.849,52.791,,6.0,1.0,,,,,,,,,
1789039584.8925,collate,3,1,29248,,35.111,35.062,,7.0,1.0,,,,,,,,,
1789039587.2203,collate,3,1,29248,,39.314,39.162,,6.0,1.0,,,,,,,,,
1789039589.1179,collate,3,1,29248,,39.558,39.479,,4.0,1.0,,,,,,,,,
1789039591.3318,collate,3,1,29248,,33.702,33.638,,6.0,1.0,,,,,,,,,
1789039593.544,collate,3,1,29248,,35.724,35.676,,6.0,1.0,,,,,,,,,
1789039595.5684,collate,3,1,29248,,54.651,54.429,,5.0,1.0,,,,,,,,,
1789039597.4266,collate,3,1,29248,,106.691,106.511,,5.0,1.0,,,,,,,,,
1789039599.4289,collate,3,1,29248,,33.886,33.823,,5.0,1.0,,,,,,,,,
1789039601.7271,collate,3,1,29248,,35.49,35.431,,6.0,1.0,,,,,,,,,
1789039604.3036,collate,3,1,29248,,40.079,40.014,,7.0,1.0,,,,,,,,,
1789039606.1257,collate,3,1,29248,,53.427,53.35,,4.0,1.0,,,,,,,,,
1789039608.3612,collate,3,1,29248,,40.682,40.613,,6.0,1.0,,,,,,,,,
1789039610.1128,collate,3,1,29248,,35.883,35.831,,5.0,1.0,,,,,,,,,
1789039612.4417,collate,3,1,29248,,51.938,51.839,,6.0,1.0,,,,,,,,,
1789039615.099,collate,3,1,29248,,54.14,54.067,,7.0,1.0,,,,,,,,,
1789039618.2011,collate,3,1,29248,,52.303,52.211,,8.0,1.0,,,,,,,,,
1789039620.638,collate,3,1,29248,,101.935,101.678,,7.0,1.0,,,,,,,,,
1789039622.9461,collate,3,1,29248,,32.009,31.955,,7.0,1.0,,,,,,,,,
1789039625.0722,collate,3,1,29248,,47.302,47.25,,5.0,1.0,,,,,,,,,
1789039627.6386,collate,3,1,29248,,34.418,34.36,,7.0,1.0,,,,,,,,,
1789039629.571,collate,3,1,29248,,38.981,38.915,,6.0,1.0,,,,,,,,,
1789039631.388,collate,3,1,29248,,34.132,34.081,,5.0,1.0,,,,,,,,,
1789039633.3856,collate,3,1,29248,,74.549,74.36,,5.0,1.0,,,,,,,,,
1789039635.9905,collate,3,1,29248,,51.401,51.296,,7.0,1.0,,,,,,,,,
1789039638.0908,collate,3,1,29248,,33.704,33.645,,6.0,1.0,,,,,,,,,
1789039640.0638,collate,3,1,29248,,34.027,33.939,,5.0,1.0,,,,,,,,,
1789039642.2049,collate,3,1,29248,,34.43,34.335,,6.0,1.0,,,,,,,,,
1789039644.5284,collate,3,1,29248,,31.838,31.799,,7.0,1.0,,,,,,,,,
1789039646.8142,collate,3,1,29248,,53.105,52.949,,6.0,1.0,,,,,,,,,
1789039649.3162,collate,3,1,29248,,91.57,91.316,,7.0,1.0,,,,,,,,,
1789039651.9749,collate,3,1,29248,,37.183,37.136,,7.0,1.0,,,,,,,,,
1789039654.0145,collate,3,1,29248,,49.934,49.878,,6.0,1.0,,,,,,,,,
1789039656.6769,collate,3,1,29248,,33.689,33.642,,7.0,1.0,,,,,,,,,
1789039658.7971,collate,3,1,29248,,33.18,33.032,,5.0,1.0,,,,,,,,,
1789039660.6563,collate,3,1,29248,,56.329,56.123,,5.0,1.0,,,,,,,,,
1789039662.9539,collate,3,1,29248,,77.659,77.529,,5.0,1.0,,,,,,,,,
1789039665.1506,collate,3,1,29248,,35.073,35.033,,6.0,1.0,,,,,,,,,
1789039667.5972,collate,3,1,29248,,36.548,36.514,,7.0,1.0,,,,,,,,,
1789039670.0557,collate,3,1,29248,,33.162,32.965,,7.0,1.0,,,,,,,,,
1789039672.5516,collate,3,1,29248,,54.091,54.016,,7.0,1.0,,,,,,,,,
1789039674.812,collate,3,1,29248,,42.731,42.698,,7.0,1.0,,,,,,,,,
1789039677.0574,collate,3,1,29248,,35.681,35.646,,6.0,1.0,,,,,,,,,
1789039679.5802,collate,3,1,29248,,31.676,31.514,,8.0,1.0,,,,,,,,,
1789039681.9251,collate,3,1,29248,,32.5,32.43,,7.0,1.0,,,,,,,,,
1789039684.1741,collate,3,1,29248,,32.682,32.641,,7.0,1.0,,,,,,,,,
1789039685.8423,collate,3,1,29248,,51.165,51.058,,4.0,1.0,,,,,,,,,
1789039687.6956,collate,3,1,29248,,41.838,41.738,,5.0,1.0,,,,,,,,,
1789039690.1843,collate,3,1,29248,,36.526,36.458,,7.0,1.0,,,,,,,,,
1789039691.5666,collate,3,1,29248,,37.211,37.108,,3.0,1.0,,,,,,,,,
1789039693.6116,collate,3,1,29248,,30.022,29.945,,6.0,1.0,,,,,,,,,
