t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038320.2143,timeline,0,-1,28340,,,,,,,0.0,0.0,1.0,2740.879,71775.840994,71777.763217,71778.108096,71778.108096,71778.130203
1789038320.209,timeline,1,-1,28341,,,,,,,0.0,0.0,1.0,2721.205,71776.004316,71777.837475,71778.10804,71778.10804,71778.124926
1789038320.2092,timeline,3,-1,28343,,,,,,,0.0,0.0,1.0,3091.992,71776.387823,71777.779965,71778.108059,71778.108059,71778.125145
1789038320.2092,timeline,2,-1,28342,,,,,,,0.0,0.0,1.0,3223.511,71776.491419,71777.848454,71778.108063,71778.108063,71778.125141
1789038320.3302,timeline,1,-1,28341,,,,,,,1.0,0.0,2.0,0.365,71778.125708,71778.222425,71778.246105,71778.246105,71778.246123
1789038320.3346,timeline,3,-1,28343,,,,,,,1.0,0.0,2.0,0.232,71778.125956,71778.224893,71778.250467,71778.250467,71778.250492
1789038320.336,timeline,2,-1,28342,,,,,,,1.0,0.0,2.0,0.262,71778.126081,71778.223631,71778.251917,71778.251917,71778.251939
1789038320.3319,timeline,0,-1,28340,,,,,,,1.0,0.0,2.0,0.785,71778.131667,71778.221812,71778.247782,71778.247782,71778.247803
1789038322.4341,timeline,0,-1,28340,,,,,,,2.0,0.0,3.0,75.321,71778.323369,71779.663676,71780.349977,71780.349977,71780.349991
1789038322.4006,timeline,1,-1,28341,,,,,,,2.0,0.0,3.0,636.434,71778.882823,71779.663752,71780.31647,71780.31647,71780.316485
1789038322.4037,timeline,2,-1,28342,,,,,,,2.0,0.0,3.0,1309.534,71779.561726,71779.663056,71780.319569,71780.319569,71780.319581
1789038322.4282,timeline,3,-1,28343,,,,,,,2.0,0.0,3.0,1322.056,71779.572771,71779.662423,71780.344128,71780.344128,71780.344145
1789038322.5489,timeline,1,-1,28341,,,,,,,3.0,0.0,4.0,0.151,71780.31683,71780.444123,71780.464813,71780.464813,71780.464826
1789038322.55,timeline,2,-1,28342,,,,,,,3.0,0.0,4.0,0.09,71780.320246,71780.442794,71780.465867,71780.465867,71780.465881
1789038322.5495,timeline,3,-1,28343,,,,,,,3.0,0.0,4.0,0.12,71780.344687,71780.442823,71780.465425,71780.465425,71780.465441
1789038322.5526,timeline,0,-1,28340,,,,,,,3.0,0.0,4.0,0.343,71780.350543,71780.445726,71780.468502,71780.468502,71780.468519
1789038324.3387,timeline,0,-1,28340,,,,,,,4.0,0.0,5.0,0.214,71780.469208,71782.233932,71782.254561,71782.254561,71782.254623
1789038324.2814,timeline,1,-1,28341,,,,,,,4.0,0.0,5.0,991.694,71781.456879,71782.176999,71782.197323,71782.197323,71782.197339
1789038324.2821,timeline,2,-1,28342,,,,,,,4.0,0.0,5.0,1202.907,71781.669001,71782.175325,71782.197999,71782.197999,71782.198015
1789038324.2801,timeline,3,-1,28343,,,,,,,4.0,0.0,5.0,1616.24,71782.081893,71782.174997,71782.196014,71782.196014,71782.196038
1789038324.8083,timeline,3,-1,28343,,,,,,,5.0,0.0,6.0,0.133,71782.19635,71782.464929,71782.724215,71782.724215,71782.72423
1789038324.8333,timeline,1,-1,28341,,,,,,,5.0,0.0,6.0,0.107,71782.197726,71782.503245,71782.749188,71782.749188,71782.749199
1789038324.837,timeline,2,-1,28342,,,,,,,5.0,0.0,6.0,0.096,71782.198376,71782.503267,71782.752939,71782.752939,71782.75295
1789038324.7895,timeline,0,-1,28340,,,,,,,5.0,0.0,6.0,0.332,71782.255583,71782.409701,71782.705426,71782.705426,71782.705455
1789038326.6533,timeline,0,-1,28340,,,,,,,6.0,0.0,7.0,0.179,71782.706098,71784.548424,71784.569201,71784.569201,71784.569218
1789038326.6541,timeline,1,-1,28341,,,,,,,6.0,0.0,7.0,1244.936,71783.994352,71784.549729,71784.569997,71784.569997,71784.570012
1789038326.6581,timeline,2,-1,28342,,,,,,,6.0,0.0,7.0,1380.61,71784.133789,71784.552657,71784.573966,71784.573966,71784.573981
1789038326.6543,timeline,3,-1,28343,,,,,,,6.0,0.0,7.0,1732.797,71784.457369,71784.549617,71784.570156,71784.570156,71784.570178
