rank,step,n_docs,total_tokens,packed_tokens,collate_ms,sample_sum_ms,sample_max_ms,sample_mean_tok,load_ms,docs_tl,bucket
0,0,5,4090.0,4090.0,95.085,2890.225,1378.053,818.0,3376.513,5,5
0,1,5,3893.0,3893.0,108.106,3120.2590000000005,1410.906,778.6,0.383,5,5
0,2,4,3813.0,3813.0,71.027,1714.8700000000001,840.796,953.25,0.281,4,4
0,3,6,4010.0,4010.0,49.302,2771.7580000000003,822.169,668.3333333333334,0.207,6,6
0,4,2,3405.0,3405.0,42.011,1228.701,788.715,1702.5,0.232,2,2
0,5,4,3978.0,3978.0,35.118,1926.7619999999997,1088.311,994.5,0.186,4,4
0,6,4,4019.0,4019.0,26.929,2174.067,1237.559,1004.75,0.136,4,4
0,7,4,3909.0,3909.0,41.337,2070.09,1104.69,977.25,0.172,4,4
0,8,4,3617.0,3617.0,25.503,1950.072,767.39,904.25,0.174,4,4
0,9,4,4047.0,4047.0,41.932,2151.404,1138.296,1011.75,0.164,4,4
0,10,5,4032.0,4032.0,32.23,2185.206,830.839,806.4,0.212,5,5
0,11,5,3995.0,3995.0,33.369,2101.059,961.106,799.0,0.143,5,5
0,12,7,3868.0,3868.0,50.105,2514.7780000000002,610.73,552.5714285714286,0.141,7,7
0,13,4,4002.0,4002.0,45.248,1765.9289999999999,850.575,1000.5,0.168,4,4
0,14,5,3915.0,3915.0,336.495,1977.747,699.498,783.0,0.151,5,5
0,15,5,3971.0,3971.0,327.071,2227.947,890.51,794.2,0.177,5,5
0,16,5,3645.0,3645.0,184.568,1938.039,647.194,729.0,0.159,5,5
0,17,5,3716.0,3716.0,75.972,1776.5519999999997,719.141,743.2,0.174,5,5
0,18,6,3946.0,3946.0,70.44,2245.2709999999997,762.935,657.6666666666666,0.137,6,6
0,19,7,3915.0,3915.0,53.821,2342.665,637.693,559.2857142857143,0.165,7,7
0,20,6,3860.0,3860.0,81.836,2187.98,509.621,643.3333333333334,0.16,6,6
0,21,4,4083.0,4083.0,52.881,1779.099,834.174,1020.75,0.168,4,4
0,22,4,3980.0,3980.0,383.152,1609.7240000000002,789.698,995.0,0.217,4,4
0,23,5,4010.0,4010.0,65.945,2354.912,792.756,802.0,0.174,5,5
0,24,7,4022.0,4022.0,79.3,2891.7909999999997,682.824,574.5714285714286,0.151,7,7
0,25,4,3852.0,3852.0,85.533,1879.448,1032.336,963.0,0.172,4,4
0,26,4,3995.0,3995.0,49.77,1559.248,864.447,998.75,0.2,5,4
0,27,5,3933.0,3933.0,114.828,2323.691,918.658,786.6,0.16,4,5
0,28,5,3960.0,3960.0,56.326,1877.499,743.673,792.0,0.195,6,5
0,29,6,4049.0,4049.0,76.781,2175.301,587.412,674.8333333333334,0.123,5,6
0,30,5,3839.0,3839.0,48.405,1908.451,835.958,767.8,0.317,6,5
0,31,6,4026.0,4026.0,150.106,2436.949,599.112,671.0,0.14,5,6
0,32,5,4093.0,4093.0,74.273,1948.0919999999999,709.063,818.6,0.18,5,5
0,33,5,3852.0,3852.0,38.082,2463.697,589.462,770.4,0.156,5,5
0,34,5,3974.0,3974.0,45.816,2381.092,869.69,794.8,0.154,4,5
0,35,4,3744.0,3744.0,73.041,1826.6949999999997,761.554,936.0,0.148,5,4
0,36,4,4058.0,4058.0,51.061,2141.169,1032.945,1014.5,0.154,4,4
0,37,4,3071.0,3071.0,53.419,1614.926,512.767,767.75,0.141,4,4
0,38,6,3887.0,3887.0,167.329,2668.21,830.961,647.8333333333334,0.178,4,6
0,39,4,3976.0,3976.0,238.794,1943.973,848.468,994.0,0.163,6,4
0,40,4,3839.0,3839.0,123.792,1957.5549999999998,918.771,959.75,0.169,5,4
0,41,5,3608.0,3608.0,32.734,2002.995,506.366,721.6,0.147,4,5
0,42,5,3766.0,3766.0,78.117,2043.975,627.208,753.2,0.184,5,5
0,43,5,4016.0,4016.0,73.32,2107.256,677.066,803.2,0.144,5,5
0,44,5,4014.0,4014.0,75.343,2144.396,881.131,802.8,0.197,5,5
0,45,7,3961.0,3961.0,56.998,2932.385,712.462,565.8571428571429,0.146,7,7
0,46,3,3923.0,3923.0,42.624,1716.281,937.917,1307.6666666666667,0.151,3,3
0,47,4,3968.0,3968.0,39.845,2070.074,1120.491,992.0,0.159,4,4
0,48,5,3855.0,3855.0,70.865,2169.574,638.349,771.0,0.131,5,5
0,49,5,3787.0,3787.0,106.736,2130.573,687.047,757.4,0.138,5,5
