t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036428.3673,collate,3,1,22075,,,,,6.0,1.0,95.032,94.743,,,,,
1789036430.5606,collate,3,1,22075,,,,,4.0,1.0,39.079,38.931,,,,,
1789036432.7122,collate,3,1,22075,,,,,6.0,1.0,47.43,47.355,,,,,
1789036434.7251,collate,3,1,22075,,,,,6.0,1.0,46.802,46.728,,,,,
1789036436.8094,collate,3,1,22075,,,,,5.0,1.0,53.394,53.183,,,,,
1789036439.4349,collate,3,1,22075,,,,,6.0,1.0,34.355,34.287,,,,,
1789036442.2906,collate,3,1,22075,,,,,7.0,1.0,227.43,227.089,,,,,
1789036444.5367,collate,3,1,22075,,,,,6.0,1.0,71.569,71.426,,,,,
1789036447.1735,collate,3,1,22075,,,,,6.0,1.0,53.525,53.347,,,,,
1789036450.1531,collate,3,1,22075,,,,,9.0,1.0,54.558,54.436,,,,,
1789036453.1629,collate,3,1,22075,,,,,8.0,1.0,21.489,21.421,,,,,
1789036455.2395,collate,3,1,22075,,,,,5.0,1.0,148.945,148.457,,,,,
1789036456.8899,collate,3,1,22075,,,,,4.0,1.0,46.619,46.485,,,,,
1789036459.4888,collate,3,1,22075,,,,,7.0,1.0,26.282,26.234,,,,,
1789036462.3503,collate,3,1,22075,,,,,8.0,1.0,45.921,45.862,,,,,
1789036464.8261,collate,3,1,22075,,,,,5.0,1.0,32.824,32.735,,,,,
1789036467.8792,collate,3,1,22075,,,,,8.0,1.0,46.622,46.57,,,,,
1789036470.3279,collate,3,1,22075,,,,,6.0,1.0,41.66,41.592,,,,,
1789036472.6436,collate,3,1,22075,,,,,5.0,1.0,55.423,55.291,,,,,
1789036475.1557,collate,3,1,22075,,,,,7.0,1.0,34.43,34.398,,,,,
1789036477.4769,collate,3,1,22075,,,,,5.0,1.0,167.827,167.557,,,,,
1789036479.3267,collate,3,1,22075,,,,,4.0,1.0,36.558,36.476,,,,,
1789036482.1444,collate,3,1,22075,,,,,6.0,1.0,56.025,55.87,,,,,
1789036484.9254,collate,3,1,22075,,,,,6.0,1.0,54.112,53.918,,,,,
1789036487.6077,collate,3,1,22075,,,,,6.0,1.0,48.162,48.102,,,,,
1789036490.6426,collate,3,1,22075,,,,,8.0,1.0,61.031,60.91,,,,,
1789036493.4115,collate,3,1,22075,,,,,7.0,1.0,85.226,85.057,,,,,
1789036495.397,collate,3,1,22075,,,,,5.0,1.0,37.634,37.564,,,,,
1789036498.1868,collate,3,1,22075,,,,,7.0,1.0,79.957,79.786,,,,,
