t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036430.1999,timeline,0,-1,21669,0.0,0.0,1.0,2638.571,,,,,69885.58685,69887.823953,69888.066414,69888.066414,69888.115841
1789036430.1958,timeline,1,-1,21670,0.0,0.0,1.0,2625.423,,,,,69885.684705,69887.819227,69888.066415,69888.066415,69888.111678
1789036430.1958,timeline,3,-1,21672,0.0,0.0,1.0,2991.339,,,,,69886.152935,69887.725516,69888.066402,69888.066402,69888.11167
1789036430.1955,timeline,2,-1,21671,0.0,0.0,1.0,3231.998,,,,,69886.371204,69887.730414,69888.093906,69888.093906,69888.111463
1789036430.3426,timeline,1,-1,21670,1.0,0.0,2.0,0.24,,,,,69888.112505,69888.235081,69888.25848,69888.25848,69888.2585
1789036430.3214,timeline,2,-1,21671,1.0,0.0,2.0,0.405,,,,,69888.112688,69888.214909,69888.237309,69888.237309,69888.237324
1789036430.3217,timeline,3,-1,21672,1.0,0.0,2.0,0.292,,,,,69888.112702,69888.215221,69888.237572,69888.237572,69888.237586
1789036430.3207,timeline,0,-1,21669,1.0,0.0,2.0,0.324,,,,,69888.116755,69888.214939,69888.236634,69888.236634,69888.236654
1789036431.9365,timeline,0,-1,21669,2.0,0.0,3.0,0.16,,,,,69888.236977,69889.191677,69889.852418,69889.852418,69889.852436
1789036431.9725,timeline,1,-1,21670,2.0,0.0,3.0,0.139,,,,,69888.258887,69889.19081,69889.888356,69889.888356,69889.888379
1789036431.9539,timeline,2,-1,21671,2.0,0.0,3.0,754.771,,,,,69888.992564,69889.191404,69889.869793,69889.869793,69889.869805
1789036431.9718,timeline,3,-1,21672,2.0,0.0,3.0,865.555,,,,,69889.10337,69889.192595,69889.887677,69889.887677,69889.887689
1789036432.1648,timeline,0,-1,21669,3.0,0.0,4.0,0.157,,,,,69889.852973,69890.057946,69890.080724,69890.080724,69890.080741
1789036432.1099,timeline,2,-1,21671,3.0,0.0,4.0,0.097,,,,,69889.870217,69890.004529,69890.025803,69890.025803,69890.025816
1789036432.1098,timeline,3,-1,21672,3.0,0.0,4.0,0.093,,,,,69889.888111,69890.004926,69890.025745,69890.025745,69890.025759
1789036432.1105,timeline,1,-1,21670,3.0,0.0,4.0,0.131,,,,,69889.888905,69890.004752,69890.02643,69890.02643,69890.026447
1789036433.7634,timeline,0,-1,21669,4.0,0.0,5.0,0.147,,,,,69890.081183,69891.657414,69891.679342,69891.679342,69891.679361
1789036433.7594,timeline,1,-1,21670,4.0,0.0,5.0,560.384,,,,,69890.587064,69891.653873,69891.675355,69891.675355,69891.675371
1789036433.7585,timeline,3,-1,21672,4.0,0.0,5.0,1525.354,,,,,69891.551461,69891.652887,69891.67438,69891.67438,69891.674393
1789036433.7651,timeline,2,-1,21671,4.0,0.0,5.0,1539.292,,,,,69891.565305,69891.658904,69891.681006,69891.681006,69891.681029
1789036434.2787,timeline,3,-1,21672,5.0,0.0,6.0,0.089,,,,,69891.67472,69891.931723,69892.194627,69892.194627,69892.19464
1789036434.2706,timeline,1,-1,21670,5.0,0.0,6.0,0.101,,,,,69891.675763,69891.884861,69892.186558,69892.186558,69892.18657
1789036434.218,timeline,0,-1,21669,5.0,0.0,6.0,0.165,,,,,69891.679884,69891.830009,69892.133957,69892.133957,69892.13397
1789036434.2906,timeline,2,-1,21671,5.0,0.0,6.0,0.128,,,,,69891.681487,69891.93235,69892.206487,69892.206487,69892.206499
1789036436.4991,timeline,0,-1,21669,6.0,0.0,7.0,0.188,,,,,69892.134559,69894.394049,69894.415044,69894.415044,69894.415059
1789036436.498,timeline,1,-1,21670,6.0,0.0,7.0,839.677,,,,,69893.026432,69894.391117,69894.413865,69894.413865,69894.413886
1789036436.4953,timeline,2,-1,21671,6.0,0.0,7.0,2034.207,,,,,69894.240934,69894.389694,69894.411257,69894.411257,69894.411274
1789036436.4946,timeline,3,-1,21672,6.0,0.0,7.0,2105.947,,,,,69894.300832,69894.389536,69894.41052,69894.41052,69894.410536
1789036436.6672,timeline,3,-1,21672,7.0,0.0,8.0,0.1,,,,,69894.410915,69894.563283,69894.58316,69894.58316,69894.583172
1789036436.6688,timeline,2,-1,21671,7.0,0.0,8.0,0.11,,,,,69894.411665,69894.563761,69894.58474,69894.58474,69894.584758
1789036436.6949,timeline,1,-1,21670,7.0,0.0,8.0,0.169,,,,,69894.4146,69894.565513,69894.610834,69894.610834,69894.61085
1789036436.6695,timeline,0,-1,21669,7.0,0.0,8.0,0.161,,,,,69894.415626,69894.563613,69894.585455,69894.585455,69894.585469
1789036439.3703,timeline,0,-1,21669,8.0,0.0,9.0,0.145,,,,,69894.585905,69897.021449,69897.286177,69897.286177,69897.286209
1789036439.3893,timeline,1,-1,21670,8.0,0.0,9.0,615.488,,,,,69895.226551,69897.023573,69897.305214,69897.305214,69897.305226
1789036439.3732,timeline,2,-1,21671,8.0,0.0,9.0,1868.801,,,,,69896.453812,69897.021161,69897.289114,69897.289114,69897.289131
1789036439.3571,timeline,3,-1,21672,8.0,0.0,9.0,2332.949,,,,,69896.916497,69897.021303,69897.273017,69897.273017,69897.273032
1789036439.5075,timeline,3,-1,21672,9.0,0.0,10.0,0.084,,,,,69897.273279,69897.399954,69897.423435,69897.423435,69897.423453
1789036439.501,timeline,0,-1,21669,9.0,0.0,10.0,0.315,,,,,69897.287203,69897.394776,69897.416913,69897.416913,69897.416929
1789036439.4991,timeline,2,-1,21671,9.0,0.0,10.0,0.115,,,,,69897.289417,69897.393746,69897.414979,69897.414979,69897.414993
1789036439.5007,timeline,1,-1,21670,9.0,0.0,10.0,0.383,,,,,69897.305785,69897.394196,69897.416576,69897.416576,69897.41659
1789036441.4083,timeline,1,-1,21670,10.0,0.0,11.0,0.117,,,,,69897.416981,69899.299822,69899.324154,69899.324154,69899.324179
1789036441.4026,timeline,0,-1,21669,10.0,0.0,11.0,0.17,,,,,69897.417374,69899.297132,69899.318474,69899.318474,69899.318489
