t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789041091.4908,collate,3,0,30301,,,,,,83.369,83.04,,6.0,1.0,,,,,
1789041093.6562,collate,3,0,30301,,,,,,177.819,177.445,,5.0,1.0,,,,,
1789041095.9688,collate,3,0,30301,,,,,,67.92,67.759,,6.0,1.0,,,,,
1789041098.6206,collate,3,0,30301,,,,,,40.837,40.763,,7.0,1.0,,,,,
1789041101.3734,collate,3,0,30301,,,,,,41.323,41.04,,7.0,1.0,,,,,
1789041103.9277,collate,3,0,30301,,,,,,33.521,33.391,,7.0,1.0,,,,,
1789041106.4844,collate,3,0,30301,,,,,,39.288,39.119,,6.0,1.0,,,,,
1789041108.9628,collate,3,0,30301,,,,,,44.283,44.186,,6.0,1.0,,,,,
1789041111.6587,collate,3,0,30301,,,,,,63.94,63.748,,7.0,1.0,,,,,
1789041113.9254,collate,3,0,30301,,,,,,44.644,44.511,,5.0,1.0,,,,,
1789041116.4769,collate,3,0,30301,,,,,,34.144,34.061,,7.0,1.0,,,,,
1789041118.6122,collate,3,0,30301,,,,,,31.305,31.232,,5.0,1.0,,,,,
1789041121.1649,collate,3,0,30301,,,,,,34.986,34.821,,6.0,1.0,,,,,
1789041123.8147,collate,3,0,30301,,,,,,29.797,29.759,,7.0,1.0,,,,,
1789041125.7423,collate,3,0,30301,,,,,,49.825,49.677,,5.0,1.0,,,,,
1789041127.7928,collate,3,0,30301,,,,,,52.09,52.001,,5.0,1.0,,,,,
1789041129.9702,collate,3,0,30301,,,,,,31.722,31.66,,6.0,1.0,,,,,
1789041132.9681,collate,3,0,30301,,,,,,35.234,34.935,,9.0,1.0,,,,,
1789041134.4546,collate,3,0,30301,,,,,,36.649,36.601,,3.0,1.0,,,,,
1789041137.0813,collate,3,0,30301,,,,,,32.478,32.376,,7.0,1.0,,,,,
1789041139.5408,collate,3,0,30301,,,,,,56.756,56.601,,6.0,1.0,,,,,
1789041141.3355,collate,3,0,30301,,,,,,34.831,34.742,,4.0,1.0,,,,,
1789041143.5567,collate,3,0,30301,,,,,,44.174,44.1,,5.0,1.0,,,,,
1789041145.8347,collate,3,0,30301,,,,,,35.586,35.473,,6.0,1.0,,,,,
1789041147.5187,collate,3,0,30301,,,,,,30.827,30.79,,5.0,1.0,,,,,
1789041149.2231,collate,3,0,30301,,,,,,50.925,50.765,,5.0,1.0,,,,,
1789041151.1396,collate,3,0,30301,,,,,,49.027,48.892,,5.0,1.0,,,,,
1789041153.5838,collate,3,0,30301,,,,,,35.892,35.792,,6.0,1.0,,,,,
1789041155.9289,collate,3,0,30301,,,,,,37.838,37.626,,7.0,1.0,,,,,
