global_step,epoch,train/loss,train/accept_len,train/accept_rate
0,0,1.562,1.0,0.000255
1,0,1.461,1.0,0.000343
2,0,1.5,1.0,0.000352
3,0,1.422,1.0,2.7e-05
4,0,1.531,1.0,0.000469
5,0,1.664,1.0,0.000235
6,0,1.516,1.0,0.000352
7,0,1.469,1.0,8.94e-05
8,0,1.5,1.0,0.000202
9,0,1.484,1.0,8.34e-05
10,0,1.578,1.0,0.000485
11,0,1.562,1.0,0.000221
12,0,1.469,1.0,0.000145
13,0,1.516,1.0,0.000206
14,0,1.586,1.0,0.000347
15,0,1.461,1.0,0.000209
16,0,1.523,1.001,0.000821
17,0,1.5,1.0,0.00045
18,0,1.555,1.0,0.000315
19,0,1.547,1.0,0.000368
20,0,1.438,1.0,0.000323
21,0,1.562,1.0,0.000156
22,0,1.469,1.0,0.000487
23,0,1.266,1.0,0.000358
24,0,1.367,1.0,0.000438
25,0,1.312,1.0,0.00022
26,0,1.328,1.001,0.000698
27,0,1.266,1.0,0.000356
28,0,1.281,1.0,0.000147
29,0,1.234,1.0,0.000103
30,0,1.266,1.0,0.000121
31,0,1.258,1.0,0.000382
32,0,1.297,1.0,0.000273
33,0,1.344,1.001,0.000446
34,0,1.297,1.0,0.000251
35,0,1.094,1.0,0.000445
36,0,1.086,1.0,0.000565
37,0,1.102,1.001,0.000506
38,0,1.109,1.0,0.000427
39,0,1.086,1.0,0.000221
40,0,1.086,1.0,0.00028
41,0,1.094,1.0,0.000392
42,0,1.086,1.0,0.000427
43,0,1.109,1.001,0.00056
44,0,1.102,1.0,0.000518
45,0,1.062,1.0,0.000245
46,0,1.102,1.001,0.000751
47,0,0.965,1.001,0.00093
48,0,0.977,1.001,0.001
49,0,0.977,1.001,0.001
50,0,1.023,1.0,0.000431
51,0,0.938,1.001,0.002
52,0,1.016,1.007,0.006
53,0,0.949,1.001,0.001
54,0,0.977,1.002,0.001
55,0,0.98,1.001,0.000978
56,0,0.969,1.002,0.002
57,0,1.023,1.001,0.000913
58,0,0.996,1.001,0.001
59,0,1.016,1.012,0.013
60,0,1.086,1.047,0.049
61,0,1.031,1.026,0.032
62,0,1.062,1.044,0.043
63,0,1.0,1.009,0.013
64,0,1.031,1.029,0.027
65,0,1.023,1.017,0.014
66,0,1.016,1.037,0.028
67,0,0.977,1.011,0.012
68,0,0.988,1.024,0.026
69,0,1.109,1.069,0.073
70,0,0.992,1.025,0.021
71,0,1.008,1.024,0.023
72,0,1.0,1.024,0.02
73,0,1.016,1.038,0.031
74,0,0.926,1.023,0.02
75,0,0.984,1.029,0.029
76,0,0.992,1.01,0.01
77,0,0.941,1.021,0.02
78,0,0.996,1.025,0.022
79,0,0.988,1.017,0.015
80,0,0.949,1.025,0.022
81,0,1.031,1.049,0.031
82,0,1.016,1.021,0.022
83,0,0.957,1.029,0.025
84,0,0.965,1.046,0.049
85,0,0.98,1.038,0.033
86,0,0.961,1.025,0.025
87,0,0.961,1.022,0.024
88,0,0.965,1.027,0.027
89,0,0.957,1.015,0.016
90,0,0.949,1.039,0.028
91,0,0.965,1.027,0.021
92,0,1.047,1.056,0.049
93,0,0.961,1.034,0.032
94,0,0.922,1.035,0.034
95,0,0.977,1.034,0.036
96,0,0.977,1.042,0.031
97,0,1.0,1.033,0.03
98,0,0.945,1.025,0.027
99,0,0.965,1.026,0.025
100,0,0.945,1.107,0.069
101,0,1.008,1.031,0.03
102,0,0.977,1.016,0.018
103,0,0.977,1.039,0.036
104,0,0.941,1.033,0.027
105,0,0.953,1.02,0.017
106,0,1.031,1.033,0.038
107,0,0.977,1.048,0.033
108,0,0.988,1.105,0.075
109,0,0.984,1.117,0.088
110,0,0.914,1.028,0.029
111,0,0.969,1.028,0.024
112,0,0.941,1.05,0.045
113,0,0.934,1.04,0.036
114,0,0.93,1.098,0.072
115,0,0.945,1.036,0.029
116,0,1.0,1.041,0.055
117,0,0.984,1.089,0.064
118,0,1.0,1.067,0.066
119,0,1.062,1.1,0.068
120,0,1.008,1.161,0.119
121,0,1.016,1.116,0.09
122,0,0.984,1.127,0.132
123,0,1.047,1.076,0.07
124,0,1.07,1.113,0.074
125,0,1.031,1.084,0.081
126,0,0.996,1.113,0.095
127,0,1.039,1.121,0.091
128,0,1.039,1.102,0.075
129,0,1.0,1.149,0.107
130,0,1.008,1.147,0.104
131,0,1.039,1.07,0.063
132,0,1.055,1.126,0.08
133,0,1.008,1.087,0.079
134,0,1.016,1.101,0.072
135,0,0.992,1.095,0.082
136,0,1.031,1.168,0.123
137,0,1.0,1.054,0.047
138,0,1.055,1.156,0.13
139,0,1.031,1.1,0.093
140,0,1.039,1.117,0.101
141,0,0.992,1.097,0.098
142,0,1.023,1.071,0.06
143,0,1.016,1.088,0.071
144,0,1.031,1.094,0.072
145,0,0.984,1.092,0.084
146,0,1.062,1.1,0.076
147,0,1.062,1.094,0.074
148,0,1.062,1.069,0.059
149,0,0.953,1.143,0.132
150,0,1.078,1.045,0.038
151,0,1.047,1.083,0.072
152,0,1.047,1.074,0.067
153,0,1.0,1.168,0.123
154,0,1.031,1.152,0.093
155,0,1.031,1.119,0.087
156,0,1.016,1.2,0.164
157,0,0.984,1.131,0.104
158,0,1.039,1.115,0.099
159,0,0.988,1.068,0.05
160,0,0.98,1.1,0.082
161,0,1.023,1.067,0.057
162,0,1.0,1.123,0.113
163,0,1.047,1.16,0.114
164,0,0.992,1.088,0.061
165,0,1.016,1.071,0.051
166,0,1.039,1.146,0.113
167,0,1.008,1.115,0.08
168,0,1.047,1.093,0.079
169,0,1.023,1.197,0.105
170,0,1.039,1.13,0.086
171,0,1.016,1.173,0.147
172,0,1.016,1.154,0.105
173,0,0.938,1.102,0.07
174,0,1.023,1.102,0.092
175,0,1.016,1.201,0.144
