global_step,epoch,train/loss,train/accept_len,train/accept_rate
0,0,1.672,1.0,0.0004
1,0,1.688,1.0,0.000499
2,0,1.773,1.0,0.000496
3,0,1.797,1.0,7.39e-05
4,0,1.695,1.0,0.000583
5,0,1.75,1.0,0.000368
6,0,1.766,1.001,0.000422
7,0,1.734,1.0,0.000206
8,0,1.641,1.0,0.000299
9,0,1.82,1.0,0.000177
10,0,1.641,1.001,0.00066
11,0,1.75,1.0,0.000313
12,0,1.703,1.0,0.000241
13,0,1.742,1.0,0.000304
14,0,1.672,1.0,0.000399
15,0,1.656,1.0,0.000266
16,0,1.625,1.001,0.00089
17,0,1.609,1.0,0.000498
18,0,1.766,1.001,0.000505
19,0,1.625,1.001,0.000546
20,0,1.625,1.0,0.000425
21,0,1.766,1.0,0.000223
22,0,1.703,1.001,0.000546
23,0,1.414,1.0,0.000421
24,0,1.422,1.0,0.00051
25,0,1.492,1.0,0.000322
26,0,1.359,1.001,0.000764
27,0,1.492,1.001,0.000421
28,0,1.461,1.0,0.000263
29,0,1.469,1.0,0.000204
30,0,1.492,1.0,0.000218
31,0,1.516,1.0,0.000529
32,0,1.453,1.0,0.000368
33,0,1.375,1.001,0.000611
34,0,1.539,1.0,0.000325
35,0,1.086,1.001,0.000492
36,0,1.094,1.0,0.000553
37,0,1.117,1.001,0.000666
38,0,1.109,1.001,0.000537
39,0,1.094,1.0,0.000347
40,0,1.102,1.0,0.000399
41,0,1.102,1.001,0.000503
42,0,1.094,1.0,0.000497
43,0,1.094,1.001,0.000723
44,0,1.102,1.001,0.000611
45,0,1.07,1.0,0.000336
46,0,1.125,1.001,0.001
47,0,0.949,1.002,0.002
48,0,0.992,1.001,0.001
49,0,0.992,1.001,0.001
50,0,1.031,1.0,0.000312
51,0,0.961,1.001,0.001
52,0,1.016,1.007,0.006
53,0,0.953,1.001,0.002
54,0,0.996,1.001,0.000936
55,0,0.988,1.001,0.000947
56,0,0.984,1.001,0.001
57,0,1.023,1.001,0.000962
58,0,0.988,1.001,0.001
59,0,1.008,1.011,0.012
60,0,1.047,1.035,0.04
61,0,0.996,1.02,0.025
62,0,1.031,1.039,0.037
63,0,0.996,1.014,0.015
64,0,1.023,1.023,0.022
65,0,1.0,1.014,0.01
66,0,1.008,1.03,0.024
67,0,0.996,1.009,0.012
68,0,1.008,1.031,0.03
69,0,1.016,1.051,0.055
70,0,0.996,1.022,0.019
71,0,0.961,1.013,0.013
72,0,0.973,1.013,0.012
73,0,0.957,1.022,0.019
74,0,0.891,1.014,0.012
75,0,0.945,1.019,0.02
76,0,0.98,1.006,0.007
77,0,0.914,1.015,0.014
78,0,0.953,1.014,0.012
79,0,0.969,1.011,0.011
80,0,0.926,1.017,0.016
81,0,0.973,1.028,0.021
82,0,0.988,1.014,0.015
83,0,1.016,1.041,0.034
84,0,1.016,1.053,0.057
85,0,1.039,1.044,0.044
86,0,1.016,1.036,0.032
87,0,1.016,1.029,0.035
