global_step,epoch,train/loss,train/accept_len,train/accept_rate
0,0,1.258,1.0,0.0003
1,0,1.328,1.0,0.000345
2,0,1.328,1.0,0.000441
3,0,1.375,1.0,4.26e-05
4,0,1.32,1.0,0.000502
5,0,1.359,1.0,0.000242
6,0,1.328,1.0,0.000371
7,0,1.344,1.0,9.67e-05
8,0,1.359,1.0,0.000224
9,0,1.312,1.0,9.14e-05
10,0,1.297,1.0,0.000492
11,0,1.258,1.0,0.000244
12,0,1.344,1.0,0.00016
13,0,1.305,1.0,0.000254
14,0,1.289,1.0,0.000382
15,0,1.32,1.0,0.000302
16,0,1.25,1.001,0.000797
17,0,1.273,1.0,0.000468
18,0,1.328,1.0,0.000382
19,0,1.258,1.0,0.000451
20,0,1.289,1.0,0.000344
21,0,1.281,1.0,0.000181
22,0,1.312,1.001,0.000518
23,0,1.148,1.0,0.00041
24,0,1.18,1.0,0.000468
25,0,1.141,1.0,0.00023
26,0,1.156,1.001,0.000772
27,0,1.117,1.001,0.000422
28,0,1.148,1.0,0.00015
29,0,1.133,1.0,0.00014
30,0,1.141,1.0,0.00013
31,0,1.133,1.0,0.000516
32,0,1.164,1.0,0.000317
33,0,1.141,1.001,0.000493
34,0,1.156,1.0,0.00027
35,0,1.031,1.001,0.000572
36,0,1.031,1.001,0.000679
37,0,1.016,1.001,0.000921
38,0,1.047,1.001,0.000533
39,0,1.016,1.0,0.00045
40,0,1.016,1.0,0.000457
41,0,1.031,1.001,0.000489
42,0,1.031,1.001,0.000561
43,0,1.031,1.001,0.000766
44,0,1.031,1.001,0.000755
45,0,1.008,1.0,0.000388
46,0,1.023,1.001,0.001
47,0,0.93,1.016,0.021
48,0,0.953,1.009,0.008
49,0,0.945,1.011,0.011
50,0,0.969,1.003,0.004
51,0,0.934,1.015,0.016
52,0,0.969,1.011,0.01
53,0,0.938,1.013,0.017
54,0,0.938,1.006,0.007
55,0,0.949,1.009,0.008
56,0,0.949,1.012,0.012
57,0,0.977,1.004,0.004
58,0,0.965,1.007,0.006
59,0,1.07,1.02,0.02
60,0,1.07,1.055,0.054
61,0,1.047,1.035,0.041
62,0,1.078,1.05,0.058
63,0,1.023,1.019,0.019
64,0,1.047,1.032,0.033
65,0,1.078,1.034,0.03
66,0,1.055,1.046,0.041
67,0,1.023,1.014,0.018
68,0,1.062,1.046,0.045
69,0,1.102,1.078,0.087
70,0,1.023,1.034,0.032
71,0,0.973,1.025,0.025
72,0,0.988,1.029,0.025
73,0,0.945,1.03,0.026
74,0,0.895,1.012,0.011
75,0,0.918,1.018,0.019
76,0,0.98,1.01,0.01
77,0,0.906,1.018,0.015
78,0,0.957,1.019,0.018
79,0,0.961,1.016,0.016
80,0,0.91,1.017,0.016
81,0,0.969,1.042,0.029
82,0,0.992,1.027,0.024
83,0,0.957,1.024,0.023
84,0,0.926,1.037,0.036
85,0,0.945,1.031,0.028
86,0,0.941,1.016,0.02
87,0,0.961,1.021,0.023
88,0,0.953,1.026,0.024
89,0,0.957,1.015,0.014
