global_step,epoch,epoch_frac,train/loss,train/accept_len,train/accept_rate
0,0,0.000000,0.529,1.0,0.0005
1,0,0.000106,0.529,1.0,0.000291
2,0,0.000213,0.533,1.0,0.000389
3,0,0.000319,0.522,1.0,0.000294
4,0,0.000425,0.518,1.0,0.00039
5,0,0.000531,0.507,1.0,0.000288
6,0,0.000638,0.5,1.0,0.000316
7,0,0.000744,0.471,1.0,0.000305
8,0,0.000850,0.45,1.0,0.000336
9,0,0.000957,0.436,1.0,0.000329
10,0,0.001063,0.417,1.0,0.000418
11,0,0.001169,0.399,1.0,0.000319
12,0,0.001275,0.384,1.0,0.000404
13,0,0.001382,0.375,1.0,0.000398
14,0,0.001488,0.364,1.0,0.00043
15,0,0.001594,0.355,1.001,0.000698
16,0,0.001700,0.349,1.001,0.001
17,0,0.001807,0.336,1.002,0.003
18,0,0.001913,0.336,1.007,0.007
19,0,0.002019,0.336,1.017,0.016
20,0,0.002126,0.353,1.03,0.028
21,0,0.002232,0.364,1.031,0.03
22,0,0.002338,0.373,1.041,0.039
23,0,0.002444,0.373,1.043,0.038
24,0,0.002551,0.368,1.049,0.041
25,0,0.002657,0.357,1.035,0.035
26,0,0.002763,0.336,1.043,0.041
27,0,0.002870,0.327,1.043,0.039
28,0,0.002976,0.324,1.042,0.036
29,0,0.003082,0.327,1.041,0.038
30,0,0.003188,0.322,1.057,0.051
31,0,0.003295,0.329,1.076,0.065
32,0,0.003401,0.331,1.076,0.069
33,0,0.003507,0.333,1.082,0.069
34,0,0.003614,0.331,1.093,0.079
35,0,0.003720,0.327,1.103,0.088
36,0,0.003826,0.333,1.1,0.082
37,0,0.003932,0.331,1.088,0.07
38,0,0.004039,0.329,1.154,0.117
39,0,0.004145,0.336,1.116,0.092
40,0,0.004251,0.329,1.158,0.111
41,0,0.004358,0.331,1.161,0.115
42,0,0.004464,0.333,1.157,0.109
43,0,0.004570,0.335,1.163,0.117
44,0,0.004676,0.325,1.164,0.11
45,0,0.004783,0.335,1.188,0.128
46,0,0.004889,0.335,1.205,0.125
47,0,0.004995,0.329,1.187,0.132
48,0,0.005101,0.329,1.274,0.171
49,0,0.005208,0.331,1.206,0.129
50,0,0.005314,0.338,1.202,0.131
51,0,0.005420,0.331,1.167,0.121
52,0,0.005527,0.336,1.202,0.133
53,0,0.005633,0.329,1.211,0.129
54,0,0.005739,0.333,1.245,0.15
55,0,0.005845,0.329,1.264,0.157
56,0,0.005952,0.336,1.189,0.133
57,0,0.006058,0.331,1.239,0.149
58,0,0.006164,0.335,1.249,0.154
59,0,0.006271,0.324,1.277,0.165
60,0,0.006377,0.329,1.29,0.18
61,0,0.006483,0.327,1.268,0.161
62,0,0.006589,0.331,1.242,0.14
63,0,0.006696,0.32,1.288,0.159
64,0,0.006802,0.325,1.337,0.191
65,0,0.006908,0.322,1.342,0.184
66,0,0.007015,0.32,1.412,0.204
67,0,0.007121,0.318,1.379,0.194
68,0,0.007227,0.331,1.259,0.158
69,0,0.007333,0.322,1.3,0.182
70,0,0.007440,0.32,1.43,0.214
71,0,0.007546,0.325,1.32,0.177
72,0,0.007652,0.324,1.336,0.188
73,0,0.007759,0.322,1.346,0.183
74,0,0.007865,0.324,1.338,0.186
75,0,0.007971,0.312,1.431,0.221
76,0,0.008077,0.322,1.359,0.195
77,0,0.008184,0.312,1.435,0.212
78,0,0.008290,0.316,1.393,0.206
79,0,0.008396,0.318,1.325,0.185
80,0,0.008502,0.311,1.419,0.217
81,0,0.008609,0.311,1.427,0.211
82,0,0.008715,0.312,1.482,0.226
83,0,0.008821,0.3,1.544,0.254
84,0,0.008928,0.32,1.414,0.2
85,0,0.009034,0.312,1.407,0.211
86,0,0.009140,0.311,1.452,0.221
87,0,0.009246,0.309,1.499,0.23
88,0,0.009353,0.314,1.442,0.203
89,0,0.009459,0.312,1.445,0.209
90,0,0.009565,0.307,1.549,0.241
