global_step,epoch,epoch_frac,train/loss,train/accept_len,train/accept_rate
0,0,0.000000,0.6,1.0,0.000252
1,0,0.000035,0.603,1.0,0.000266
2,0,0.000069,0.613,1.0,0.000213
3,0,0.000104,0.591,1.0,0.000431
4,0,0.000138,0.588,1.0,0.000266
5,0,0.000173,0.594,1.0,0.000238
6,0,0.000208,0.597,1.0,0.000411
7,0,0.000242,0.594,1.0,0.000419
8,0,0.000277,0.588,1.0,0.000225
9,0,0.000311,0.591,1.0,0.000436
10,0,0.000346,0.597,1.0,0.000306
11,0,0.000381,0.581,1.0,0.000363
12,0,0.000415,0.591,1.0,0.000348
13,0,0.000450,0.588,1.0,0.000459
14,0,0.000484,0.581,1.0,0.000304
15,0,0.000519,0.569,1.0,0.000279
16,0,0.000553,0.566,1.0,0.000334
17,0,0.000588,0.566,1.0,0.000311
18,0,0.000623,0.572,1.0,0.000352
19,0,0.000657,0.553,1.0,0.000283
20,0,0.000692,0.544,1.0,0.000354
21,0,0.000726,0.537,1.0,0.000256
22,0,0.000761,0.531,1.0,0.000316
23,0,0.000796,0.512,1.0,0.000254
24,0,0.000830,0.519,1.0,0.000414
25,0,0.000865,0.512,1.0,0.000238
26,0,0.000899,0.487,1.0,0.000392
27,0,0.000934,0.5,1.0,0.000317
28,0,0.000969,0.497,1.0,0.000357
29,0,0.001003,0.469,1.0,0.000268
30,0,0.001038,0.475,1.0,0.000418
31,0,0.001072,0.478,1.0,0.000503
32,0,0.001107,0.45,1.0,0.000306
33,0,0.001142,0.453,1.0,0.000323
34,0,0.001176,0.459,1.0,0.000391
35,0,0.001211,0.438,1.0,0.000287
36,0,0.001245,0.434,1.0,0.000338
37,0,0.001280,0.441,1.0,0.000419
38,0,0.001315,0.419,1.001,0.00048
39,0,0.001349,0.425,1.0,0.000381
40,0,0.001384,0.428,1.0,0.000345
41,0,0.001418,0.412,1.001,0.000576
42,0,0.001453,0.416,1.0,0.000501
43,0,0.001487,0.419,1.0,0.000357
44,0,0.001522,0.397,1.001,0.000598
45,0,0.001557,0.406,1.001,0.000608
46,0,0.001591,0.406,1.001,0.000629
47,0,0.001626,0.394,1.001,0.001
48,0,0.001660,0.389,1.001,0.001
49,0,0.001695,0.4,1.001,0.000857
50,0,0.001730,0.394,1.001,0.001
51,0,0.001764,0.384,1.003,0.002
52,0,0.001799,0.38,1.002,0.003
53,0,0.001833,0.383,1.005,0.006
54,0,0.001868,0.381,1.005,0.005
55,0,0.001903,0.381,1.006,0.006
56,0,0.001937,0.384,1.014,0.015
