_ts,_type,train/confidence_loss,train/confidence_abs_error,train/confidence_pred_mean,train/confidence_cumprod_bias,train/loss,train/ce_loss,train/tv_loss,train/accept_rate,train/accept_len,train/full_acc,train/position_1_acc,train/position_2_acc,train/position_3_acc,train/position_4_acc,train/position_5_acc,train/position_6_acc,train/position_7_acc,profile/fetch_ms,profile/fwd_ms,profile/bwd_ms,profile/opt_ms,profile/step_ms,profile/tokens_per_s,profile/fetch_frac,epoch,lr/Muon,lr/AdamW,global_step
11:39:03,train,0.432,0.283,0.283,0.176,0.529,2.103,0.188,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5730.0,2430.0,761.754,2280.0,11200.0,355.933,0.511,0,0.0,0.0,0
11:39:05,train,0.424,0.281,0.281,0.172,0.529,2.103,0.188,0.000291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.464,276.355,242.869,1490.0,2250.0,1660.0,0.107,0,2.13e-05,2.13e-06,1
11:39:07,train,0.419,0.279,0.279,0.171,0.533,2.088,0.188,0.000389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.886,253.318,249.059,1180.0,1810.0,2220.0,0.068,0,4.26e-05,4.26e-06,2
11:39:08,train,0.404,0.273,0.273,0.161,0.522,2.103,0.188,0.000294,1.0,0.000187,0.0,0.0,0.000327,0.000327,0.0,0.000328,0.000329,22.135,247.771,296.346,827.919,1390.0,2680.0,0.016,0,6.38e-05,6.38e-06,3
11:39:10,train,0.393,0.267,0.267,0.156,0.518,2.103,0.188,0.00039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.003,205.814,211.98,849.411,1290.0,3120.0,0.015,0,8.51e-05,8.51e-06,4
11:39:11,train,0.365,0.254,0.255,0.141,0.507,2.074,0.188,0.000288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.888,130.373,171.295,976.504,1300.0,3140.0,0.017,0,0.000106,1.06e-05,5
11:39:12,train,0.344,0.244,0.244,0.13,0.5,2.074,0.188,0.000316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,126.134,164.937,881.495,1190.0,3420.0,0.016,0,0.000128,1.28e-05,6
11:39:13,train,0.271,0.204,0.204,0.096,0.471,2.059,0.188,0.000305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.622,127.56,168.102,902.051,1220.0,3300.0,0.016,0,0.000149,1.49e-05,7
11:39:15,train,0.211,0.167,0.168,0.071,0.45,2.088,0.188,0.000336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.668,129.242,195.735,913.373,1260.0,3210.0,0.015,0,0.00017,1.7e-05,8
11:39:16,train,0.163,0.135,0.135,0.052,0.436,2.044,0.188,0.000329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.61,125.796,166.407,914.014,1220.0,3150.0,0.015,0,0.000191,1.91e-05,9
