global_step,epoch,train/loss,train/accept_len,train/accept_rate
0,0,1.562,1.0,0.000253
1,0,1.453,1.0,0.000342
2,0,1.492,1.0,0.000353
3,0,1.406,1.0,2.9e-05
4,0,1.531,1.0,0.000465
5,0,1.656,1.0,0.000232
6,0,1.5,1.0,0.000352
7,0,1.461,1.0,8.85e-05
8,0,1.492,1.0,0.000202
9,0,1.484,1.0,8.36e-05
10,0,1.578,1.0,0.000485
11,0,1.555,1.0,0.000219
12,0,1.469,1.0,0.000145
13,0,1.508,1.0,0.000203
14,0,1.578,1.0,0.000347
15,0,1.461,1.0,0.000209
16,0,1.516,1.001,0.000818
17,0,1.492,1.0,0.000447
18,0,1.547,1.0,0.000316
19,0,1.547,1.0,0.00037
20,0,1.438,1.0,0.000321
21,0,1.547,1.0,0.000156
22,0,1.477,1.0,0.000487
23,0,1.273,1.0,0.000358
24,0,1.367,1.0,0.000436
25,0,1.312,1.0,0.000217
26,0,1.328,1.001,0.000696
27,0,1.281,1.0,0.000355
28,0,1.281,1.0,0.000147
29,0,1.234,1.0,0.000102
30,0,1.266,1.0,0.00012
31,0,1.266,1.0,0.000378
32,0,1.305,1.0,0.000272
33,0,1.344,1.001,0.000448
34,0,1.297,1.0,0.000251
35,0,1.094,1.0,0.00044
36,0,1.086,1.0,0.00056
37,0,1.102,1.001,0.000502
38,0,1.109,1.0,0.000423
39,0,1.094,1.0,0.000219
40,0,1.086,1.0,0.000276
41,0,1.094,1.0,0.000387
42,0,1.086,1.0,0.000425
43,0,1.109,1.001,0.000557
44,0,1.109,1.0,0.000516
45,0,1.062,1.0,0.000242
46,0,1.102,1.001,0.000746
47,0,0.973,1.001,0.000844
48,0,0.98,1.001,0.001
49,0,0.977,1.001,0.001
50,0,1.031,1.0,0.000385
51,0,0.941,1.001,0.001
52,0,1.016,1.007,0.006
53,0,0.949,1.001,0.001
54,0,0.977,1.001,0.001
55,0,0.98,1.001,0.000939
56,0,0.969,1.001,0.002
57,0,1.023,1.001,0.000884
58,0,0.996,1.001,0.000992
59,0,1.0,1.011,0.012
60,0,1.07,1.046,0.048
61,0,1.016,1.024,0.03
62,0,1.055,1.041,0.042
63,0,0.988,1.008,0.012
64,0,1.031,1.027,0.026
65,0,1.008,1.015,0.013
66,0,1.008,1.035,0.027
67,0,0.973,1.01,0.011
68,0,0.984,1.023,0.025
69,0,1.094,1.067,0.07
70,0,0.988,1.024,0.02
71,0,1.008,1.025,0.024
72,0,1.008,1.025,0.021
73,0,1.023,1.04,0.032
74,0,0.93,1.026,0.022
75,0,1.0,1.036,0.033
76,0,1.0,1.011,0.01
77,0,0.949,1.023,0.022
78,0,1.0,1.028,0.024
79,0,0.992,1.019,0.016
80,0,0.961,1.028,0.025
81,0,1.047,1.052,0.033
82,0,1.023,1.021,0.022
83,0,0.953,1.028,0.024
84,0,0.957,1.042,0.046
85,0,0.973,1.035,0.031
86,0,0.957,1.024,0.024
87,0,0.953,1.022,0.024
88,0,0.961,1.025,0.026
89,0,0.953,1.014,0.015
90,0,0.934,1.036,0.026
91,0,0.957,1.025,0.019
92,0,1.023,1.051,0.044
93,0,0.949,1.032,0.031
94,0,0.922,1.034,0.033
95,0,0.969,1.044,0.043
96,0,0.957,1.056,0.041
97,0,0.977,1.043,0.037
98,0,0.934,1.034,0.035
99,0,0.969,1.044,0.038
100,0,0.945,1.135,0.085
101,0,0.973,1.039,0.037
102,0,0.965,1.022,0.023
103,0,0.953,1.049,0.044
104,0,0.945,1.043,0.035
105,0,0.949,1.027,0.021
106,0,1.008,1.044,0.048
107,0,0.984,1.056,0.039
108,0,1.0,1.115,0.085
109,0,1.008,1.132,0.102
110,0,0.922,1.03,0.032
111,0,0.98,1.033,0.031
112,0,0.953,1.06,0.053
113,0,0.949,1.045,0.041
114,0,0.945,1.108,0.08
115,0,0.945,1.037,0.033
116,0,1.023,1.054,0.068
117,0,1.0,1.109,0.075
118,0,1.023,1.077,0.076
119,0,1.07,1.097,0.069
120,0,1.008,1.161,0.12
121,0,1.031,1.118,0.093
122,0,0.98,1.128,0.129
123,0,1.047,1.075,0.07
124,0,1.07,1.113,0.075
125,0,1.031,1.085,0.082
126,0,0.996,1.12,0.099
127,0,1.039,1.118,0.09
128,0,1.031,1.103,0.076
129,0,1.008,1.15,0.11
130,0,1.0,1.142,0.103
131,0,1.031,1.074,0.064
132,0,1.023,1.132,0.079
133,0,1.008,1.095,0.082
134,0,1.008,1.109,0.078
135,0,0.992,1.099,0.089
136,0,1.031,1.175,0.128
137,0,0.977,1.051,0.043
138,0,1.07,1.179,0.145
139,0,1.039,1.114,0.101
140,0,1.031,1.13,0.106
141,0,0.984,1.095,0.098
142,0,1.008,1.072,0.058
143,0,1.039,1.096,0.076
144,0,1.039,1.1,0.078
145,0,0.996,1.101,0.091
146,0,1.047,1.104,0.08
147,0,1.094,1.107,0.083
148,0,1.07,1.08,0.068
149,0,0.969,1.158,0.141
150,0,1.109,1.049,0.042
151,0,1.031,1.09,0.075
152,0,1.047,1.094,0.081
153,0,1.008,1.169,0.129
154,0,1.039,1.149,0.094
155,0,1.055,1.145,0.102
156,0,1.0,1.212,0.169
157,0,0.98,1.15,0.11
158,0,1.047,1.136,0.113
159,0,0.977,1.071,0.053
160,0,0.973,1.12,0.089
161,0,1.047,1.095,0.075
162,0,1.008,1.135,0.121
163,0,1.047,1.182,0.124
164,0,0.992,1.094,0.065
165,0,1.016,1.085,0.059
166,0,1.047,1.154,0.127
167,0,1.016,1.121,0.084
168,0,1.062,1.091,0.081
169,0,1.031,1.204,0.107
170,0,1.047,1.134,0.088
171,0,1.047,1.182,0.153
172,0,1.023,1.167,0.109
173,0,0.934,1.098,0.065
174,0,1.023,1.108,0.095
175,0,1.047,1.209,0.149
176,0,1.039,1.226,0.164
177,0,0.988,1.228,0.119
178,0,1.078,1.196,0.151
179,0,1.094,1.162,0.122
180,0,0.969,1.199,0.146
181,0,1.0,1.17,0.104
182,0,1.07,1.342,0.207
183,0,1.055,1.285,0.199
184,0,1.008,1.051,0.051
185,0,1.047,1.208,0.169
186,0,1.055,1.172,0.133
187,0,1.0,1.143,0.107
188,0,1.055,1.148,0.106
189,0,1.047,1.187,0.155
190,0,1.0,1.183,0.14
191,0,1.148,1.147,0.114
192,0,1.039,1.167,0.13
193,0,1.031,1.281,0.173
194,0,1.031,1.12,0.096
195,0,0.984,1.162,0.125
196,0,1.008,1.125,0.098
197,0,1.016,1.193,0.135
198,0,0.977,1.173,0.131
199,0,1.016,1.176,0.145
200,0,1.023,1.207,0.138
201,0,1.008,1.308,0.168
202,0,1.047,1.162,0.124
203,0,1.016,1.125,0.091
204,0,1.023,1.19,0.147
205,0,1.039,1.222,0.127
206,0,1.039,1.087,0.054
207,0,1.016,1.128,0.114
208,0,1.07,1.182,0.126
209,0,1.047,1.268,0.176
210,0,1.062,1.147,0.125
211,0,0.957,1.101,0.089
212,0,1.047,1.163,0.12
213,0,1.008,1.04,0.042
214,0,1.016,1.14,0.098
215,0,1.031,1.152,0.103
216,0,1.016,1.243,0.18
217,0,1.023,1.202,0.151
218,0,1.062,1.192,0.135
219,0,1.008,1.293,0.173
220,0,1.062,1.073,0.073
221,0,0.984,1.159,0.112
222,0,1.062,1.121,0.11
223,0,1.031,1.22,0.12
224,0,1.016,1.2,0.138
