global_step,epoch,train/loss,train/accept_len,train/accept_rate
0,0,1.562,1.0,0.000253
1,0,1.453,1.0,0.000341
2,0,1.492,1.0,0.000353
3,0,1.406,1.0,2.9e-05
4,0,1.531,1.0,0.000465
5,0,1.656,1.0,0.000232
6,0,1.5,1.0,0.000351
7,0,1.461,1.0,8.86e-05
8,0,1.492,1.0,0.000202
9,0,1.484,1.0,8.37e-05
10,0,1.578,1.0,0.000485
11,0,1.555,1.0,0.000219
12,0,1.469,1.0,0.000145
13,0,1.508,1.0,0.000203
14,0,1.578,1.0,0.000347
15,0,1.461,1.0,0.000209
16,0,1.516,1.001,0.000818
17,0,1.492,1.0,0.000447
18,0,1.547,1.0,0.000316
19,0,1.547,1.0,0.00037
20,0,1.438,1.0,0.000321
21,0,1.547,1.0,0.000156
22,0,1.477,1.0,0.000487
23,0,1.273,1.0,0.000358
24,0,1.367,1.0,0.000436
25,0,1.312,1.0,0.000217
26,0,1.328,1.001,0.000696
27,0,1.281,1.0,0.000355
28,0,1.281,1.0,0.000147
29,0,1.234,1.0,0.000102
30,0,1.266,1.0,0.00012
31,0,1.266,1.0,0.000378
32,0,1.305,1.0,0.000272
33,0,1.344,1.001,0.000448
34,0,1.297,1.0,0.000251
35,0,1.094,1.0,0.000439
36,0,1.086,1.0,0.00056
37,0,1.102,1.001,0.000502
38,0,1.109,1.0,0.000423
39,0,1.094,1.0,0.000218
40,0,1.086,1.0,0.000276
41,0,1.094,1.0,0.000387
42,0,1.086,1.0,0.000425
43,0,1.117,1.001,0.000555
44,0,1.109,1.0,0.000515
45,0,1.07,1.0,0.000242
46,0,1.102,1.001,0.000746
47,0,0.965,1.001,0.00085
48,0,0.98,1.001,0.001
49,0,0.977,1.001,0.001
50,0,1.031,1.0,0.000385
51,0,0.941,1.001,0.001
52,0,1.016,1.007,0.006
53,0,0.949,1.001,0.001
54,0,0.977,1.001,0.001
55,0,0.98,1.001,0.00094
56,0,0.969,1.001,0.002
57,0,1.023,1.001,0.000886
58,0,0.996,1.001,0.000999
59,0,1.0,1.011,0.012
60,0,1.07,1.046,0.048
61,0,1.023,1.024,0.03
62,0,1.055,1.042,0.042
63,0,0.988,1.009,0.012
64,0,1.031,1.028,0.026
65,0,1.008,1.015,0.013
66,0,1.008,1.035,0.027
67,0,0.973,1.01,0.011
68,0,0.988,1.023,0.025
69,0,1.094,1.067,0.071
70,0,0.988,1.024,0.02
71,0,1.008,1.025,0.023
72,0,1.008,1.025,0.021
73,0,1.023,1.04,0.032
74,0,0.93,1.025,0.022
75,0,1.0,1.036,0.033
76,0,1.0,1.011,0.01
77,0,0.949,1.023,0.022
78,0,1.0,1.028,0.023
79,0,0.992,1.018,0.016
80,0,0.961,1.028,0.025
81,0,1.047,1.052,0.033
82,0,1.023,1.021,0.022
83,0,0.957,1.028,0.024
84,0,0.953,1.043,0.046
85,0,0.977,1.035,0.032
86,0,0.957,1.024,0.024
87,0,0.953,1.022,0.024
88,0,0.961,1.026,0.026
89,0,0.953,1.015,0.015
90,0,0.934,1.036,0.026
91,0,0.961,1.026,0.019
